IBRA Region Code,IBRA Subregion Name,IBRA Subregion Code,Jurisdictions,Jurisdiction(s) with Protected Area(s),Subregion Area (ha),Area Protected (ha),% IBRA Subregion Protected,Contribution to NRS (%)
DRP,Culgoa-Bokhara,DRP01,"NSW,QLD","NSW, QLD",1354799.00,75263.00,5.56,0.04
SYB,Cumberland,SYB08,NSW,NSW,275693.00,10043.00,3.64,0.01
BHC,Curnamona,BHC06,SA,SA,706696.00,614.00,0.09,0
MUL,Cuttaburra-Paroo,MUL07,"NSW,QLD","NSW, QLD",1703985.00,263677.00,15.47,0.15
WET,Daintree-Bloomfield,WET09,QLD,QLD,357932.00,252691.00,70.6,0.15
NNC,Dalmorton,NNC03,NSW,NSW,316458.00,75939.00,24,0.04
DAB,Daly Basin,DAB01,NT,NT,2092229.00,219031.00,10.47,0.13
SWA,Dandaragan Plateau,SWA01,WA,WA,383465.00,29173.00,7.61,0.02
MDD,Darling Depression,MDD06,NSW,NSW,3662438.00,285948.00,7.81,0.17
DAC,Darwin Coastal,DAC01,NT,NT,2843199.00,878566.00,30.9,0.51
DMR,Davenport,DMR02,NT,NT,1589590.00,129620.00,8.15,0.07
BBS,Dawson River Downs,BBS07,QLD,QLD,982807.00,16842.00,1.71,0.01
CMC,Debella,CMC06,QLD,QLD,80964.00,4585.00,5.66,0
NET,Deepwater Downs,NET06,NSW,NSW,97773.00,191.00,0.2,0
CHC,Diamantina-Eyre,CHC04,"QLD,SA",-,1456544.00, -   ,0,0
SSD,Dieri,SSD03,"NT,QLD,SA","QLD, SA",5152029.00,4220115.00,81.91,2.44
GUP,Donors Plateau,GUP08,QLD,QLD,2449964.00,4753.00,0.19,0
GUP,Doomadgee Plains,GUP07,"NT,QLD",QLD,1831823.00,39746.00,2.17,0.02
BBS,Dulacca Downs,BBS14,QLD,-,162442.00, -   ,0,0
BRT,Dulcie,BRT04,NT,NT,526567.00,18779.00,3.57,0.01
VIM,Dundas Tablelands,VIM04,VIC,VIC,688318.00,10130.00,1.47,0.01
GID,Dune Field,GID02,WA,WA,2914114.00,2914114.00,100,1.68
SEC,East Gippsland Lowlands,SEC01,"NSW,VIC","NSW, VIC",623516.00,163810.00,26.27,0.09
BBS,Eastern Darling Downs,BBS17,QLD,QLD,1698063.00,6528.00,0.38,0
COO,Eastern Goldfield,COO03,WA,WA,5058246.00,1689293.00,33.4,0.97
MAL,Eastern Mallee,MAL01,WA,WA,3415839.00,1748355.00,51.18,1.01
MUL,Eastern Mulga Plains,MUL02,QLD,QLD,1563269.00,27704.00,1.77,0.02
MUR,Eastern Murchison,MUR01,WA,WA,21135040.00,1517792.00,7.18,0.88
NET,Eastern Nandewars,NET16,NSW,NSW,319096.00,21520.00,6.74,0.01
NET,Ebor Basalts,NET08,NSW,NSW,35709.00,3856.00,10.8,0
YAL,Edel,YAL01,WA,WA,1588634.00,777065.00,48.91,0.45
GSD,Ehrenberg,GSD03,NT,-,375668.00, -   ,0,0
NNC,Ellerston,NNC15,NSW,NSW,113183.00,3895.00,3.44,0
SYB,Ettrema,SYB13,NSW,NSW,179126.00,140175.00,78.26,0.08
CER,Everard Block,CER03,SA,SA,525998.00,176258.00,33.51,0.1
EYB,Eyre Hills,EYB03,SA,SA,1172576.00,156959.00,13.39,0.09
EYB,Eyre Mallee,EYB05,SA,SA,2319398.00,506568.00,21.84,0.29
FIN,Finke River,FIN02,NT,NT,1601516.00,72762.00,4.54,0.04
ESP,Fitzgerald,ESP01,WA,WA,1577938.00,451071.00,28.59,0.26
DAL,Fitzroy Trough,DAL01,WA,WA,3432084.00,75329.00,2.19,0.04
KAN,Fleurieu,KAN02,SA,SA,370730.00,14721.00,3.97,0.01
FUR,Flinders,FUR02,"TAS,VIC",TAS,496398.00,144227.00,29.05,0.08
PIL,Fortescue,PIL02,WA,WA,1951435.00,70525.00,3.61,0.04
GAW,Gawler Lakes,GAW03,SA,SA,2049193.00,568153.00,27.73,0.33
